period_end,age_group,value
2021-12-31,Unknown,25.0
2022-01-31,0 to 4,1540.0
2022-01-31,18 to 24,22290.0
2022-01-31,25+,38770.0
2022-01-31,5 to 17,53745.0
2022-01-31,Unknown,20.0
2022-02-28,0 to 4,1640.0
2022-02-28,18 to 24,23245.0
2022-02-28,25+,40480.0
2022-02-28,5 to 17,56440.0
2022-02-28,Unknown,15.0
2022-03-31,0 to 4,1670.0
2022-03-31,18 to 24,24045.0
2022-03-31,25+,42260.0
2022-03-31,5 to 17,58520.0
2022-03-31,Unknown,15.0
2022-04-30,0 to 4,1205.0
2022-04-30,18 to 24,27835.0
2022-04-30,25+,48550.0
2022-04-30,5 to 17,63850.0
2022-04-30,Unknown,10.0
2022-05-31,0 to 4,1240.0
2022-05-31,18 to 24,28675.0
2022-05-31,25+,50445.0
2022-05-31,5 to 17,66575.0
2022-05-31,Unknown,15.0
2022-06-30,0 to 4,1070.0
2022-06-30,18 to 24,29350.0
2022-06-30,25+,52350.0
2022-06-30,5 to 17,66145.0
2022-06-30,Unknown,10.0
2022-07-31,0 to 4,1100.0
2022-07-31,18 to 24,30120.0
2022-07-31,25+,54325.0
2022-07-31,5 to 17,68635.0
2022-07-31,Unknown,15.0
2022-08-31,0 to 4,1040.0
2022-08-31,18 to 24,31275.0
2022-08-31,25+,57020.0
2022-08-31,5 to 17,64865.0
2022-08-31,Unknown,0.0
2022-09-30,0 to 4,1050.0
2022-09-30,18 to 24,32390.0
2022-09-30,25+,60130.0
2022-09-30,5 to 17,66565.0
2022-09-30,Unknown,0.0
2022-10-31,0 to 4,1065.0
2022-10-31,18 to 24,33165.0
2022-10-31,25+,62155.0
2022-10-31,5 to 17,68755.0
2022-10-31,Unknown,0.0
2022-11-30,0 to 4,1130.0
2022-11-30,18 to 24,34625.0
2022-11-30,25+,65320.0
2022-11-30,5 to 17,72060.0
2022-11-30,Unknown,0.0
2022-12-31,0 to 4,1145.0
2022-12-31,18 to 24,36115.0
2022-12-31,25+,68910.0
2022-12-31,5 to 17,74020.0
2022-12-31,Unknown,0.0
2023-01-31,0 to 4,1225.0
2023-01-31,18 to 24,37970.0
2023-01-31,25+,73880.0
2023-01-31,5 to 17,76705.0
2023-01-31,Unknown,5.0
2023-02-28,0 to 4,1250.0
2023-02-28,18 to 24,39905.0
2023-02-28,25+,78725.0
2023-02-28,5 to 17,79805.0
2023-02-28,Unknown,15.0
2023-03-31,0 to 4,1335.0
2023-03-31,18 to 24,41775.0
2023-03-31,25+,83235.0
2023-03-31,5 to 17,83180.0
2023-03-31,Unknown,15.0
2023-04-30,0 to 4,1385.0
2023-04-30,18 to 24,44150.0
2023-04-30,25+,89875.0
2023-04-30,5 to 17,86615.0
2023-04-30,Unknown,15.0
2023-05-31,0 to 4,1400.0
2023-05-31,18 to 24,46105.0
2023-05-31,25+,94550.0
2023-05-31,5 to 17,89505.0
2023-05-31,Unknown,15.0
2023-06-30,0 to 4,1450.0
2023-06-30,18 to 24,47015.0
2023-06-30,25+,97285.0
2023-06-30,5 to 17,92725.0
2023-06-30,Unknown,15.0
2023-07-31,0 to 4,1460.0
2023-07-31,18 to 24,48555.0
2023-07-31,25+,101735.0
2023-07-31,5 to 17,95865.0
2023-07-31,Unknown,25.0
2023-08-31,0 to 4,1490.0
2023-08-31,18 to 24,50460.0
2023-08-31,25+,106805.0
2023-08-31,5 to 17,94970.0
2023-08-31,Unknown,15.0
2023-09-30,0 to 4,1520.0
2023-09-30,18 to 24,52085.0
2023-09-30,25+,111750.0
2023-09-30,5 to 17,96605.0
2023-09-30,Unknown,15.0
2023-10-31,0 to 4,1550.0
2023-10-31,18 to 24,53780.0
2023-10-31,25+,116550.0
2023-10-31,5 to 17,98820.0
2023-10-31,Unknown,15.0
2023-11-30,0 to 4,1585.0
2023-11-30,18 to 24,55540.0
2023-11-30,25+,121845.0
2023-11-30,5 to 17,101640.0
2023-11-30,Unknown,15.0
2023-12-31,0 to 4,1650.0
2023-12-31,18 to 24,56190.0
2023-12-31,25+,123930.0
2023-12-31,5 to 17,103035.0
2023-12-31,Unknown,15.0
2024-01-31,0 to 4,1670.0
2024-01-31,18 to 24,57135.0
2024-01-31,25+,126895.0
2024-01-31,5 to 17,104885.0
2024-01-31,Unknown,15.0
2024-02-29,0 to 4,1695.0
2024-02-29,18 to 24,57760.0
2024-02-29,25+,129075.0
2024-02-29,5 to 17,105355.0
2024-02-29,Unknown,15.0
